Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
SMK (SMEA) PSM 2 KAWEDANAN,90,269,SWASTA,MAGETAN
SMK DEWANTORO PURWOSARI,89,271,SWASTA,PASURUAN
SMKN 6 MALANG,94,271,NEGERI,MALANG
SMAN 1 BUNGKAL,89,273,NEGERI,PONOROGO
MAN 2 MADIUN,92,273,NEGERI,MADIUN
SMKN 1 Kendal,87,274,NEGERI,NGAWI
SMK PGRI 2,92,274,SWASTA,MALANG
SMAN 1 JETIS,98,275,NEGERI,PONOROGO
SMK AL KHOZINI GONDANGLEGI,86,276,SWASTA,MALANG
SMK PGRI 3 SURABAYA,81,280,SWASTA,SURABAYA
SMK AKHMAD YANI,89,280,SWASTA,MOJOKERTO
SMK BRAWIJAYA,87,282,SWASTA,PONOROGO
SMK Al-Karomah,88,282,SWASTA,PAMEKASAN
SMALB PUTRA IDHATA DOLOPO,88,282,SWASTA,MADIUN
SMA MERDEKA,81,283,SWASTA,PONOROGO
SMK NEGERI 1 DLANGGU,92,283,NEGERI,MOJOKERTO 
SMK RADEN PATAH,91,284,SWASTA,MOJOKERTO
SMK MASKUMAMBANG 1 DUKUN,88,285,SWASTA,GRESIK
SMK ISLAM KEPANJEN,88,291,SWASTA,MALANG
SMKN 1 PUNGGING,93,294,NEGERI,MOJOKERTO
SMK WAHID HASYIM BANGIL,85,299,SWASTA,PASURUAN
SMKN 1 ATAP SATU KARANGANYAR,93,299,NEGERI,NGAWI
SMK MUHAMMADIYAH 3 NGORO,83,302,SWASTA,MOJOKERTO 
SMK PRAPANCA SURABAYA,88,302,SWASTA,SURABAYA
SMAN 1 MLARAK,92,303,NEGERI,PONOROGO
SMK COKROAMINOTO 1,86,304,SWASTA,MADIUN
SMK PGRI DONOROJO,89,305,SWASTA,PACITAN
SMK PEMBANGUNAN,84,306,SWASTA,SURABAYA
SMK DARUSSALAM,83,308,SWASTA,SAMPANG
SMK PSM 1 Kedunggalar,85,310,SWASTA,NGAWI
SMK SEMEN GRESIK,93,310,SWASTA,GRESIK
SMK (SMEA) MAOSPATI,86,311,SWASTA,MAGETAN
SMK PGRI 1 BANYUWANGI,92,311,SWASTA,BANYUWANGI
SMKN 1 TUREN,93,313,NEGERI,MALANG
SMK N TERPADU NAWANGAN,92,316,NEGERI,PACITAN
SMK NEGERI 1 KEMLAGI,93,326,NEGERI,MOJOKERTO 
SMKN 1 MALANG,94,326,NEGERI,MALANG
SMK AL-IKHLAS,91,330,SWASTA,PAMEKASAN
SMKN 1,93,330,NEGERI,PROBOLINGGO
SMK NASIONAL DAWARBI,88,331,SWASTA,MOJOKERTO
SMKN 1 GONDANG,92,334,NEGERI,NGANJUK
SMAN 1 KARAS,91,337,NEGERI,MAGETAN
SMK RIYADLUL QUR'AN NGAJUM,84,342,SWASTA,MALANG
SMAN 1 JOGOROGO,92,342,NEGERI,NGAWI
SMAN 1 MAOSPATI,93,347,NEGERI,MAGETAN
MAS MURO`ATUDDIN,86,348,SWASTA,MAGETAN
SMK YP 17-1,85,349,SWASTA,MALANG
SMK Budi Mulya Pakisaji,88,349,SWASTA,MALANG
SMK (STM) YKP 1 MAGETAN,90,349,SWASTA,MAGETAN
SMKN 1 BAGOR,92,349,NEGERI,NGANJUK
SMK PGRI 8 NGAWI,81,353,SWASTA,NGAWI
SMK NASIONAL,92,357,SWASTA,MALANG
SMK KARTIKA 1 SURABAYA,92,359,SWASTA,SURABAYA
SMA KATOLIK SANTO THOMAS NGAWI,92,360,SWASTA,NGAWI
SMK BINA CENDIKA,91,361,SWASTA,MALANG
SMKN 2 SINGOSARI,93,364,NEGERI,MALANG
SMKN 1 NGANJUK ,92,366,NEGERI,NGANJUK
SMK Darul Ulum,88,374,SWASTA,PAMEKASAN
SMK PSM 1 TAKERAN,86,375,SWASTA,MAGETAN
SMK PGRI 1 Kertosono,88,377,SWASTA,NGANJUK
SMK PGRI 6,92,378,SWASTA,MALANG
SMK NEGERI 2 PONOROGO,93,380,NEGERI,PONOROGO
SMK WALISONGO BULULAWANG,85,381,SWASTA,MALANG
SMK (STM) N TEMAYANG,93,385,NEGERI,BOJONEGORO
SMK PENERBANGAN,91,386,SWASTA,MAGETAN
SMK WACHID HASYIM SURABAYA,92,386,SWASTA,SURABAYA
SMK PGRI NGADIROJO ,89,388,SWASTA,PACITAN
SMK AL MUJTAMA',90,390,SWASTA,PAMEKASAN
SMKN 1 NGASEM,92,393,NEGERI,BOJONEGORO
SMKN 2 KRAKSAAN,92,397,NEGERI,PROBOLINGGO
SMK AS SYAFIIYAH PAKISAJI,81,405,SWASTA,MALANG
SMKN 2,91,405,NEGERI,PROBOLINGGO
SMK Kecil PP Al Inabah,92,405,SWASTA,PONOROGO
SMAN 1 JENANGAN,92,411,NEGERI,PONOROGO
SMK MUHAMMADIYAH 5 SRONO,83,412,SWASTA,BANYUWANGI
SMK ROUDLOTUN NASYIIN,89,414,SWASTA,MOJOKERTO
SMK PGRI 6 SURABAYA,90,414,SWASTA,SURABAYA
SMAN 1 SARADAN,91,415,NEGERI,MADIUN
SMAN 1 WIDODAREN,91,415,NEGERI,NGAWI
SMKN 2 PAMEKASAN,93,417,NEGERI,PAMEKASAN
SMALB PUTRA BANGSA,82,418,SWASTA,MADIUN
MAS TRI BHAKTI,83,420,NEGERI,MADIUN
SMK PGRI 3 MADIUN,92,420,SWASTA,MADIUN
SMK MGR. SOEGIJAPRANATA.,84,424,SWASTA,PASURUAN
SMK DHARMA BHAKTI SURABAYA,83,425,SWASTA,SURABAYA
SMK Miftahul Ulum,82,426,SWASTA,BONDOWOSO
SMK Mambaul Ulum,83,426,SWASTA,BONDOWOSO
SMK AL-HIKAM ,81,431,SWASTA,PAMEKASAN
SMK Nurul Falah,81,433,SWASTA,BONDOWOSO
SMK DR. SOETOMO SURABAYA,89,433,SWASTA,SURABAYA
SMK PEMBANGUNAN 1,92,433,SWASTA,PONOROGO
SMK AL - IMAM,81,435,SWASTA,JEMBER
SMK AL IKHLASH,85,443,SWASTA,GRESIK
SMK ISLAM DONOMULYO,93,443,SWASTA,MALANG
MA SingoWalisongo,84,445,SWASTA,MAGETAN
SMK PGRI ROGOJAMPI,91,447,SWASTA,BANYUWANGI
SMKN WRINGIN,92,448,NEGERI,BONDOWOSO
SMK MERDEKA LAWANG,88,449,SWASTA,MALANG
"SMK ""KIMIA INDUSTRI"" FATHUL MUNA",82,451,SWASTA,PONOROGO
SMK MUHAMMADIYAH 6 DONOMULYO,91,453,SWASTA,MALANG
SMK KITA BAKTI,86,456,SWASTA,MOJOKERTO
SMK AL MUNAWWARIYAH,83,457,SWASTA,MALANG
SMA PEMBERDAYAAN BANGSA,81,460,SWASTA,PONOROGO
SMA Darul Ulum,84,461,SWASTA,MAGETAN
SMK PRADANA GIRI,82,463,SWASTA,BANYUWANGI
SMKN 1 SLAHUNG,93,463,NEGERI,PONOROGO
SMKN 1 PARON,91,471,NEGERI,NGAWI
SMK PGRI 9 NGAWI,82,473,SWASTA,NGAWI
SMK IKIP SURABAYA,84,474,SWASTA,SURABAYA
SMK PUTRA INDONESIA,92,474,SWASTA,MALANG
SMKN SUKOREJO,94,474,NEGERI,PASURUAN
SMKN 1 Poncol,92,482,NEGERI,MAGETAN
SMK RADEN RAHMAD,92,483,SWASTA,MOJOKERTO
SMKN 1 SITUBONDO,92,485,NEGERI,SITUBONDO
SMK PAWIYATAN SURABAYA,87,487,SWASTA,SURABAYA
SMAN 3 MAGETAN,92,488,NEGERI,MAGETAN
SMA KP PARON,82,492,SWASTA,NGAWI
SMK KARTIKA V-1 LAWANG,90,494,SWASTA,MALANG
SMA MUHAMMADIYAH 1,92,494,SWASTA,PONOROGO
SMK MA'ARIF PANDAAN,92,498,SWASTA,PASURUAN
SMK MUHAMMADIYAH 4 GLENMORE,91,499,SWASTA,BANYUWANGI
SMK (SMEA) N 1 SUBOH,91,499,NEGERI,SITUBONDO
SMKN PRIGEN,92,499,NEGERI,PASURUAN
SMK PGRI 2 PASURUAN,92,500,SWASTA,PASURUAN
SMAN 4 MADIUN,92,500,NEGERI,MADIUN
SMKN SEKAR,88,502,NEGERI,BOJONEGORO
SMK MA'ARIF NU,82,504,SWASTA,GRESIK
SMKN 1 KEPANJEN,92,505,NEGERI,MALANG
SMA PGRI 1 MAOSPATI,91,508,SWASTA,MAGETAN
SMAN 2 MAGETAN,91,513,NEGERI,MAGETAN
SMK PGRI 1 GIRI,92,514,SWASTA,BANYUWANGI
SMK CENDIKA BANGSA KEPANJEN,88,516,SWASTA,MALANG
SMK 17 AGUSTUS 1945 SURABAYA,93,518,SWASTA,SURABAYA
SMK (SMEA) 1 IBRAHIMY SUKOREJO,92,520,SWASTA,SITUBONDO
SMK KOSGORO 4 KARANGPLOSO,87,522,SWASTA,MALANG
SMK BHAKTI SAMUDERA,93,524,SWASTA,SURABAYA
SMK A YANI BANGIL,90,530,SWASTA,PASURUAN
SMKN 1 KASIMAN,93,532,NEGERI,BOJONEGORO
SMK Al Basthomi loceret,92,536,SWASTA,NGANJUK
SMKN Tambelangan,85,542,NEGERI,SAMPANG
SMK (STM) SUNAN AMPEL,87,548,SWASTA,GRESIK
SMK PGRI 3 BOJONEGORO,91,550,SWASTA,BOJONEGORO
SMK PROF. SURJONO,85,551,SWASTA,MALANG
SMK (SMEA) YPI DARUSSALAM 2 CERME,92,553,SWASTA,GRESIK
SMK ISLAM AN NUURU,85,554,SWASTA,MALANG
SMKN REMBANG,92,554,NEGERI,PASURUAN
SMK PGRI SINGOSARI,90,558,SWASTA,MALANG
